120
 	 01:00:06:00.58	 HIT	 00:00:00:00.01	
 	 01:00:07:24.55	 HIT	 00:00:00:00.01	
 	 01:00:09:23.76	 HIT	 00:00:00:00.01	
 	 01:00:11:24.17	 HIT	 00:00:00:00.01	
 	 01:00:14:00.16	 HIT	 00:00:00:00.01	
 	 01:00:16:00.12	 HIT	 00:00:00:00.01	
 	 01:00:17:24.14	 HIT	 00:00:00:00.01	
 	 01:00:19:24.26	 HIT	 00:00:00:00.01	
 	 01:00:21:23.69	 HIT	 00:00:00:00.01	
 	 01:00:22:05.30	 HIT	 00:00:00:00.01	
 	 01:00:23:05.05	 HIT	 00:00:00:00.01	
 	 01:00:23:11.36	 HIT	 00:00:00:00.01	
 	 01:00:23:18.17	 HIT	 00:00:00:00.01	
 	 01:00:23:24.44	 HIT	 00:00:00:00.01	
 	 01:00:24:05.75	 HIT	 00:00:00:00.01	
 	 01:00:25:04.72	 HIT	 00:00:00:00.01	
 	 01:00:25:11.77	 HIT	 00:00:00:00.01	
 	 01:00:25:18.36	 HIT	 00:00:00:00.01	
 	 01:00:25:24.55	 HIT	 00:00:00:00.01	
 	 01:00:26:06.08	 HIT	 00:00:00:00.01	
 	 01:00:27:05.16	 HIT	 00:00:00:00.01	
 	 01:00:27:11.66	 HIT	 00:00:00:00.01	
 	 01:00:27:17.74	 HIT	 00:00:00:00.01	
 	 01:00:28:00.74	 HIT	 00:00:00:00.01	
 	 01:00:28:11.77	 HIT	 00:00:00:00.01	
 	 01:00:28:23.76	 HIT	 00:00:00:00.01	
 	 01:00:29:11.66	 HIT	 00:00:00:00.01	
 	 01:00:29:24.14	 HIT	 00:00:00:00.01	
 	 01:00:30:05.75	 HIT	 00:00:00:00.01	
 	 01:00:31:06.37	 HIT	 00:00:00:00.01	
 	 01:00:31:12.69	 HIT	 00:00:00:00.01	
 	 01:00:31:18.72	 HIT	 00:00:00:00.01	
 	 01:00:31:24.68	 HIT	 00:00:00:00.01	
 	 01:00:32:06.09	 HIT	 00:00:00:00.01	
 	 01:00:33:05.75	 HIT	 00:00:00:00.01	
 	 01:00:33:12.28	 HIT	 00:00:00:00.01	
 	 01:00:33:18.26	 HIT	 00:00:00:00.01	
 	 01:00:34:01.15	 HIT	 00:00:00:00.01	
 	 01:00:34:06.37	 HIT	 00:00:00:00.01	
 	 01:00:35:06.38	 HIT	 00:00:00:00.01	
 	 01:00:35:12.15	 HIT	 00:00:00:00.01	
 	 01:00:35:18.77	 HIT	 00:00:00:00.01	
 	 01:00:36:00.58	 HIT	 00:00:00:00.01	
 	 01:00:36:12.52	 HIT	 00:00:00:00.01	
 	 01:00:37:00.17	 HIT	 00:00:00:00.01	
 	 01:00:37:12.59	 HIT	 00:00:00:00.01	
 	 01:00:37:24.67	 HIT	 00:00:00:00.01	
 	 01:00:38:12.70	 HIT	 00:00:00:00.01	
 	 01:00:39:01.02	 HIT	 00:00:00:00.01	
 	 01:00:39:13.01	 HIT	 00:00:00:00.01	
 	 01:00:40:00.17	 HIT	 00:00:00:00.01	
 	 01:00:40:12.28	 HIT	 00:00:00:00.01	
 	 01:00:41:00.17	 HIT	 00:00:00:00.01	
 	 01:00:41:12.69	 HIT	 00:00:00:00.01	
 	 01:00:42:00.29	 HIT	 00:00:00:00.01	
 	 01:00:42:12.28	 HIT	 00:00:00:00.01	
 	 01:00:42:24.55	 HIT	 00:00:00:00.01	
